# processed_dataset.csv

user_id,item_id,rating,timestamp
1,101,5,2023-01-01 10:00:00
1,102,3,2023-01-01 10:05:00
1,103,4,2023-01-01 10:10:00
2,101,4,2023-01-02 11:00:00
2,104,5,2023-01-02 11:05:00
3,102,2,2023-01-03 12:00:00
3,103,3,2023-01-03 12:05:00
4,101,5,2023-01-04 13:00:00
4,104,4,2023-01-04 13:05:00
5,102,3,2023-01-05 14:00:00
5,103,5,2023-01-05 14:05:00
6,101,2,2023-01-06 15:00:00
6,104,3,2023-01-06 15:05:00
7,102,4,2023-01-07 16:00:00
7,103,5,2023-01-07 16:05:00
8,101,3,2023-01-08 17:00:00
8,104,2,2023-01-08 17:05:00
9,102,5,2023-01-09 18:00:00
9,103,4,2023-01-09 18:05:00
10,101,4,2023-01-10 19:00:00
10,104,5,2023-01-10 19:05:00
